project_id,investment,expected_return,impact_score,viability
101,105591,201356.67684992086,9,1
102,270884,438398.2798679815,1,0
103,73247,141048.52882450834,3,0
104,74300,82084.41142780788,4,0
105,132798,262616.07219431014,7,1
106,59268,91371.92878419867,4,0
107,398951,698406.2085790186,2,0
108,324329,596368.1626537183,7,1
109,244776,427528.58723365946,6,1
110,267851,423615.2113434652,3,0
111,482315,737439.1538377873,6,1
112,451787,837940.3286037245,6,1
113,286584,368137.1527480853,5,0
114,88044,173551.86263216892,4,0
115,363358,632191.0437246468,1,0
116,426896,546237.4383277174,6,0
117,98984,174471.42210809005,2,0
118,352918,556500.87317093,3,0
119,314712,546499.618074409,8,1
120,170151,304740.70495500043,6,1
121,183767,216580.6489893903,3,0
122,174375,271239.189651145,7,1
123,229262,444496.12492105836,4,0
124,186330,258733.73369857404,9,0
125,351648,574766.823141036,5,0
126,214231,306844.6537559119,3,0
127,63986,96544.71142337019,2,0
128,111858,178272.88280969334,2,0
129,179312,285828.6682520671,3,0
130,62666,80310.0770371479,2,0
131,350804,602019.7935541933,4,0
132,184633,217697.31768475895,2,0
133,338998,415252.98849256826,9,0
134,376649,415232.85179815715,2,0
135,154488,186162.1274014081,9,0
136,233323,356015.8017752276,6,1
137,334806,550920.491749903,1,0
138,320536,581728.126821005,4,0
139,80535,96322.22169709703,1,0
140,425713,794233.4652673865,6,1
141,364400,645489.8053989576,4,0
142,401279,588943.7308639287,3,0
143,439622,852710.2890411547,3,0
144,347366,691896.2876671881,9,1
145,127373,163610.8259967199,6,0
146,173684,250331.74379576746,9,1
147,323109,624829.6321259831,5,0
148,74538,130399.52732990883,2,0
149,420210,480419.8653061344,8,0
150,251664,453841.55448193924,5,0
151,425396,784918.0674775807,2,0
152,189182,335883.5096178564,4,0
153,208338,379088.37010335905,9,1
154,234064,431290.8693536806,4,0
155,264020,334715.18015062524,4,0
156,148806,195251.71136845354,2,0
157,450126,751882.6865277977,6,1
158,423133,811179.6074428961,2,0
159,140982,195200.42390879197,7,0
160,171626,279660.44938600215,3,0
161,169176,290083.3562045911,3,0
162,443422,668127.7574167004,5,0
163,268126,467183.8710414853,3,0
164,268969,513650.28778351145,2,0
165,172409,286490.5508177618,9,1
166,73419,116428.06720623939,2,0
167,493852,738244.6418868939,2,0
168,303618,491781.5039399785,8,1
169,295310,419288.87708184146,9,1
170,100015,145255.17492662292,7,1
171,298550,471312.4455048139,3,0
172,172096,199623.99448940906,9,0
173,157059,205138.34898593184,3,0
174,235340,373852.7410837837,5,0
175,160687,239162.566462549,9,1
176,400083,559929.844267702,3,0
177,461357,810832.2622998359,7,1
178,261428,450792.286001416,1,0
179,155878,194856.49166562373,4,0
180,252982,478329.81577886286,4,0
181,499260,771796.6797465995,7,1
182,248286,438799.52740476216,8,1
183,299002,483138.12520669197,1,0
184,300396,600168.1839477529,5,0
185,214899,381910.51028390066,7,1
186,499036,866467.4313113817,4,0
187,374767,674848.4628940095,4,0
188,387594,476281.39358760626,4,0
189,405570,520788.43558656535,6,0
190,429989,749323.6305861247,7,1
191,465515,719026.7127835512,2,0
192,93585,166503.7894098561,5,0
193,421369,502534.96246276674,4,0
194,114044,180512.63132383823,3,0
195,485773,699969.4595287517,7,1
196,492296,744007.0419563438,6,1
197,159556,262240.1920127616,7,1
198,52693,81782.6719035588,5,0
199,407403,646090.0588275129,6,1
200,293307,451024.54857451713,5,0
201,250235,367359.9088641896,7,1
202,75939,136287.2511521851,2,0
203,492141,546760.1689923073,5,0
204,486157,796616.0974608466,6,1
205,202906,326467.1330497238,6,1
206,68047,118712.15374851787,5,0
207,338249,554432.8752459093,7,1
208,125766,231927.4632404129,8,1
209,458923,900942.6337511366,7,1
210,465192,655116.789820861,5,0
211,94262,122975.70252613538,1,0
212,437261,647687.2488929585,5,0
213,335920,456561.1850898734,2,0
214,211152,349130.38016868837,5,0
215,178376,342600.9267517954,5,0
216,187848,230152.22895364734,2,0
217,142787,170018.64308274645,5,0
218,177948,236744.50667606594,4,0
219,105016,184144.08865933615,1,0
220,452690,739544.5398234543,3,0
221,71959,85774.50899448303,1,0
222,186602,359558.81645940983,5,0
223,275928,499726.6263771375,4,0
224,431245,483305.0448814803,7,0
225,315892,532666.7219121491,5,0
226,278576,499799.3307365991,4,0
227,63545,91313.6460119958,2,0
228,439803,511064.0098004889,4,0
229,215838,252441.74171967202,2,0
230,385674,460426.2099465591,8,0
231,405701,753141.5792206806,3,0
232,111087,213244.55793506914,9,1
233,118840,143859.3499830923,4,0
234,168451,221060.84669021843,6,0
235,497600,621486.705362887,5,0
236,363149,460359.9169606694,1,0
237,489792,907947.8596743977,9,1
238,89353,124998.75056896108,1,0
239,243075,335516.38303460483,8,0
240,264283,344798.4171850394,9,0
241,364877,600990.7144520209,9,1
242,115318,166216.49707378226,1,0
243,291025,515063.22943492385,2,0
244,466880,599950.9908409759,1,0
245,117172,211965.42515640907,2,0
246,266688,438261.5590686426,8,1
247,306951,369213.11581745406,5,0
248,143264,211035.62627621368,7,1
249,296458,556500.9748368524,2,0
250,338880,654263.4870166834,8,1
251,275281,418187.65583484067,6,1
252,162859,249622.6664731476,8,1
253,424325,817508.4710438821,1,0
254,444070,723106.4476630929,1,0
255,402228,454341.46543080994,7,0
256,481839,925841.3595997948,8,1
257,319536,422875.1561515644,3,0
258,367824,595826.6062935924,5,0
259,307426,383963.3874112511,1,0
260,227789,257513.47003007046,7,0
261,268164,370153.70231728035,5,0
262,363003,654293.3549937172,8,1
263,175657,237106.81698430915,8,0
264,285167,370171.71602307784,9,0
265,207381,267814.4583637211,7,0
266,244806,382792.4476457539,1,0
267,120467,238282.18210871913,3,0
268,233734,353660.5989126517,8,1
269,148506,237843.4720011469,3,0
270,159751,299464.2429410564,8,1
271,431050,681732.6221117183,1,0
272,455904,577182.024838208,5,0
273,337486,462233.08329057915,4,0
274,218229,300925.4029344054,5,0
275,418452,609929.9040445165,8,1
276,495299,735078.206221948,4,0
277,156081,284036.80000863667,4,0
278,139045,196671.96375453306,3,0
279,84698,128860.26946479516,7,1
280,160078,266126.2154496425,3,0
281,392767,565566.1584784096,3,0
282,72671,134652.7013920904,5,0
283,468400,762886.9414009163,5,0
284,405528,553399.8156076099,6,0
285,485323,845749.7177176389,8,1
286,136202,214502.20852706212,6,1
287,101663,160730.25034559696,1,0
288,65708,100728.99422138635,8,1
289,404050,625190.9101291031,8,1
290,361955,647472.5794419979,9,1
291,183883,219314.18902749225,9,0
292,368394,516092.9281589224,2,0
293,162547,189847.26074860772,2,0
294,436393,775872.5402095781,3,0
295,84754,114000.20425546785,1,0
296,276814,528074.5713172441,4,0
297,287714,452838.9972607709,4,0
298,192483,350448.9464384667,9,1
299,183983,364477.3680870382,9,1
300,264835,491483.43433476274,9,1
301,451896,849697.5109567507,7,1
302,134896,197917.52883806248,2,0
303,121295,193653.57297278347,5,0
304,269686,358277.77215432434,4,0
305,412833,526982.0633571725,8,0
306,323255,502647.65451437887,2,0
307,349648,571864.7170888634,6,1
308,182874,257000.90083981803,5,0
309,58155,93774.88899798274,2,0
310,351528,667451.287647306,1,0
311,424705,679973.6965988777,8,1
312,97254,170071.16118172382,2,0
313,334062,609590.8157629649,7,1
314,135981,270582.59564917476,9,1
315,80306,131932.93352130207,9,1
316,197718,361065.71797732613,8,1
317,358987,705906.431828053,9,1
318,170975,333395.90754751686,2,0
319,408745,501519.35025078186,6,0
320,157512,230873.6987347011,4,0
321,197443,274759.91267159884,4,0
322,423616,499118.14441988646,5,0
323,183121,305796.815548223,3,0
324,212688,374823.0723342882,1,0
325,415871,774898.7912709175,8,1
326,425037,514506.9487664118,5,0
327,333076,629113.8383146154,3,0
328,167796,281667.9040849955,7,1
329,341999,592872.8868441116,7,1
330,242506,465505.2061422905,1,0
331,224088,372498.153334986,9,1
332,319544,448089.9275113782,2,0
333,430002,792320.2224537659,5,0
334,223714,319184.68573731126,5,0
335,65151,73673.09608326147,8,0
336,494623,913860.0416007412,8,1
337,116690,164611.42424757645,7,1
338,54499,97904.78691195486,7,1
339,56295,80303.81011219746,6,1
340,433029,811912.5812594703,6,1
341,438215,568610.0242735172,9,0
342,371184,733865.1168770196,6,1
343,324327,584366.8417356098,2,0
344,472515,568347.7202096487,2,0
345,193946,312097.7011024311,5,0
346,428480,851317.1673544047,4,0
347,82711,126048.16519198229,2,0
348,317683,401518.4079640313,3,0
349,234423,360144.1792462371,7,1
350,229426,358182.5991425292,8,1
351,438207,774538.8696926498,6,1
352,183629,317487.4286530753,5,0
353,350504,512540.26043282443,1,0
354,263090,341022.72941555735,8,0
355,183272,307997.5306918785,3,0
356,293548,434314.11192222213,6,1
357,228047,278000.3738066484,3,0
358,333501,637158.6867311723,7,1
359,169121,291243.2186027221,7,1
360,127505,218653.921854473,9,1
361,52869,97296.16824201687,5,0
362,307186,484338.7871774058,8,1
363,362252,664206.7871178822,8,1
364,162296,251279.92323863995,1,0
365,144179,167313.65378600245,5,0
366,140272,205459.66382343796,3,0
367,88467,136922.00409814707,1,0
368,335472,586466.2204188146,4,0
369,403556,482621.0374142266,8,0
370,185059,226885.42167136766,3,0
371,108871,145594.86734897,2,0
372,465615,623853.5844864451,9,0
373,178391,313783.72522230155,5,0
374,489430,648816.5964787966,7,0
375,136416,227785.8348698726,2,0
376,382415,590772.4609605643,9,1
377,356208,575619.6394762752,9,1
378,306687,568688.5591946358,4,0
379,251163,367688.4039662018,4,0
380,157450,282436.99668689247,6,1
381,221890,328360.0231283318,6,1
382,488741,693271.4054067294,1,0
383,331974,651586.7687052411,9,1
384,460645,583146.0884805449,2,0
385,450109,531715.2310897639,5,0
386,166381,298468.7683488666,9,1
387,97333,113044.95371410683,4,0
388,184508,341961.7933749711,3,0
389,255362,381376.5220725206,7,1
390,388357,747184.2306548503,6,1
391,449111,785665.6103121882,8,1
392,200810,331208.8250636812,3,0
393,342890,670136.0268788235,5,0
394,99377,144790.7422712146,4,0
395,491620,962925.397767453,4,0
396,366189,447300.284499835,4,0
397,410032,629554.705715388,8,1
398,483006,648638.4658944882,6,0
399,419599,665424.6411683892,3,0
400,186672,232558.3091524001,5,0
401,275732,512138.190666948,6,1
402,405323,754617.0118369518,5,0
403,221836,434734.82240239315,6,1
404,255615,316759.36736268166,8,0
405,95714,158980.88659958827,7,1
406,152946,233520.02947483805,5,0
407,421760,594658.5545442782,6,1
408,155983,220932.160058779,4,0
409,237563,349577.3268365127,9,1
410,174123,302004.67633964063,4,0
411,461805,756647.8438246727,1,0
412,355628,538318.855318194,7,1
413,132989,155376.3774804811,7,0
414,348356,407572.62178177224,4,0
415,355669,391984.74385203194,3,0
416,228274,449911.94912922604,8,1
417,213707,236088.2000223911,5,0
418,375352,447713.99937837606,7,0
419,345972,478526.639957219,4,0
420,461927,843796.150537865,4,0
421,315564,620363.7671077813,8,1
422,408896,740515.6457221793,8,1
423,181373,312234.38293542684,2,0
424,488452,766464.5182395435,2,0
425,165294,194722.066160593,3,0
426,497456,976184.6290041069,3,0
427,174019,310198.1205341722,1,0
428,115726,193847.3509104735,3,0
429,191564,341583.94844332384,6,1
430,427812,749395.2841527,8,1
431,318246,532587.3612075165,6,1
432,231408,458770.7845584456,5,0
433,168015,321417.3038820376,4,0
434,266386,448060.8330295502,3,0
435,304079,524188.9226121492,4,0
436,76641,87864.01879631718,7,0
437,215656,367246.148661503,1,0
438,213817,243697.68925537445,7,0
439,466309,759821.3158240024,1,0
440,415890,831538.0142409916,2,0
441,495101,792273.4548485162,4,0
442,86631,132189.2991655536,1,0
443,292289,403817.5298378455,9,0
444,122991,148630.97323877344,6,0
445,54014,94952.36133113287,1,0
446,323237,411590.3187499094,1,0
447,68070,81939.52246767239,6,0
448,347921,514779.1777024897,4,0
449,106958,194215.1550739862,4,0
450,132074,233844.68961558698,6,1
451,60729,69801.5696743792,7,0
452,280785,423881.2676425894,9,1
453,226089,355002.93978241907,5,0
454,247392,415641.3164924611,9,1
455,208823,351898.2069594456,4,0
456,155864,222609.25488047214,2,0
457,443002,710845.2064681501,3,0
458,259141,397251.6718771164,1,0
459,417654,792080.1932358369,6,1
460,104748,165212.59090191647,6,1
461,55801,83530.13209193824,1,0
462,200262,293190.9586117681,3,0
463,492905,796132.7542871973,5,0
464,285362,520380.23091621906,3,0
465,494209,783104.4759436388,3,0
466,79592,134947.4128255094,3,0
467,322791,569425.9807699717,5,0
468,189788,297616.2987138983,5,0
469,269963,400661.6317591455,4,0
470,298710,564262.8435191631,1,0
471,270984,399906.1218067929,5,0
472,422771,640814.5367926226,5,0
473,382460,761595.3448306265,4,0
474,308067,338939.5558579069,6,0
475,314512,398463.31016311474,4,0
476,127575,184418.2739308581,7,1
477,318799,618256.7574813751,7,1
478,287549,334427.1746721816,2,0
479,120031,133058.79147547603,3,0
480,137922,158253.83402308618,1,0
481,498982,588643.611303324,8,0
482,174046,197339.81119051122,9,0
483,456619,699450.4427191013,4,0
484,82097,133217.2819975677,6,1
485,192038,258198.60029513447,9,0
486,174862,255028.99568307286,6,1
487,280229,331379.0316810469,9,0
488,168834,236829.09380100702,4,0
489,143848,225879.8066104186,8,1
490,102921,181042.63200052577,9,1
491,230798,254572.900300116,4,0
492,176141,267836.4271558378,5,0
493,231372,316355.5345780071,8,0
494,334821,625291.4896446336,6,1
495,105609,184181.88306171575,7,1
496,277897,453027.0449634724,3,0
497,499877,674603.5472565695,7,0
498,81024,155509.7838645987,8,1
499,120313,137227.87800056787,6,0
500,439957,527297.6326808607,9,0
501,234078,339990.6000336649,6,1
502,407429,493801.42257871083,9,0
503,458554,899120.8194007981,4,0
504,163632,297514.1298848695,8,1
505,462724,616850.1396318179,4,0
506,301451,491274.3347903925,2,0
507,53051,105258.35453996206,9,1
508,229819,435686.05245968344,5,0
509,426836,700317.7651170419,4,0
510,137235,262578.8027717684,2,0
511,497237,989634.1033007785,1,0
512,247484,437803.5370189051,7,1
513,239407,277350.0812015641,6,0
514,499395,729826.9459527357,2,0
515,475309,881243.4011705697,8,1
516,261810,342319.7890383408,4,0
517,482950,892287.9235528978,8,1
518,253687,306531.24157193484,7,0
519,123523,141094.2482158724,5,0
520,286175,413717.91766915756,8,1
521,144476,163699.7950524827,9,0
522,283841,556766.3938439052,5,0
523,329163,606840.0109001662,5,0
524,395757,720551.8881625121,2,0
525,272866,454813.0844626415,5,0
526,136672,176948.09318880667,3,0
527,123847,193998.19246859403,7,1
528,394894,646657.3528024764,5,0
529,260706,409967.5762169494,8,1
530,78251,104403.26914801748,1,0
531,153481,240001.79000457362,3,0
532,424710,654931.5757472831,3,0
533,75945,151639.54844427752,9,1
534,402996,768792.4601262251,5,0
535,82217,124726.69747843925,9,1
536,58308,96828.80963176281,9,1
537,318093,564005.7499444584,1,0
538,233062,263681.36957697413,2,0
539,444366,846707.9950373853,5,0
540,270552,507045.3273919519,4,0
541,150235,227108.58008812962,9,1
542,124740,181129.06495877993,7,1
543,428496,576611.4002595884,6,0
544,378761,579129.0329577147,7,1
545,275913,314523.9885289014,1,0
546,329040,614309.1841912495,1,0
547,442942,501357.24924084253,8,0
548,227247,317270.0420635864,2,0
549,188877,366124.94500670326,9,1
550,55237,97310.54725812076,7,1
551,70056,94803.4126207973,6,0
552,226615,300805.1669851514,1,0
553,237628,262477.6928486101,1,0
554,164548,284033.3559138566,2,0
555,423632,484594.8576442327,6,0
556,184415,291254.4042537624,6,1
557,456716,897862.4489509156,2,0
558,496438,594991.8517529417,1,0
559,79375,151211.91006853132,5,0
560,190734,380004.6509162,5,0
561,66964,77367.88353057572,2,0
562,163429,309635.1397929795,6,1
563,302764,473665.53369103203,9,1
564,240710,461167.2256667544,2,0
565,266139,429598.1266951802,2,0
566,117215,198785.01333817688,3,0
567,381186,605857.416141507,7,1
568,194356,365009.04042051354,6,1
569,253861,446927.09534195514,8,1
570,405612,636459.6939697101,8,1
571,59435,111817.72364992333,6,1
572,497556,657150.5594581517,3,0
573,225150,279547.7245788214,3,0
574,390976,486514.9324233773,1,0
575,101293,141871.78521926724,7,1
576,128781,169323.9668288787,5,0
577,241475,467756.71065040526,4,0
578,210196,251236.91286775374,4,0
579,276507,478105.948802801,4,0
580,356063,452306.6102084218,6,0
581,289833,548791.081592006,8,1
582,302377,594226.3696059389,8,1
583,216319,328571.9061444027,5,0
584,171172,323714.38107224874,6,1
585,406902,449476.4222433915,4,0
586,368717,677684.2307913662,9,1
587,109101,142460.01037277761,8,0
588,338790,649742.0249106323,1,0
589,416329,458381.6014031623,2,0
590,73049,116919.56760662727,9,1
591,260677,464258.49628092087,8,1
592,410260,546802.5270969113,3,0
593,409523,521658.4150939438,8,0
594,118385,139183.87147327812,1,0
595,176131,245489.66503679138,4,0
596,483374,775264.1661561714,3,0
597,246489,296836.71277251805,6,0
598,73289,105464.76374618545,7,1
599,422370,468055.72039785434,4,0
600,412937,758487.4214766488,7,1
601,321967,391384.3235764795,9,0
602,241232,326871.4474864025,2,0
603,354119,395403.944798673,3,0
604,59540,88656.05464566416,5,0
605,66364,123178.84106712641,3,0
606,447827,650664.0105110812,8,1
607,77663,97975.57056615867,8,0
608,101991,181373.54800528186,8,1
609,238751,432121.7101557599,9,1
610,416326,523062.8804248083,4,0
611,212049,380366.85857580754,5,0
612,144704,282544.4142600206,5,0
613,99115,123867.96307591298,8,0
614,403151,723206.8796667607,7,1
615,269295,467957.90818151855,9,1
616,241962,369286.3966741778,8,1
617,247459,285104.5453244777,2,0
618,199143,232444.68339199712,4,0
619,240347,448769.4754849757,6,1
620,61938,123326.82892028661,2,0
621,478411,817339.8527716751,7,1
622,403824,606286.2006331225,3,0
623,54000,90872.0790693327,3,0
624,251660,411453.09574011015,2,0
625,413186,597157.4938851616,8,1
626,405754,470294.66359893564,6,0
627,301492,554552.8233857878,1,0
628,415835,596577.7560678866,1,0
629,88304,162206.24270590433,7,1
630,381593,506472.314187855,8,0
631,132986,146407.81576607627,5,0
632,201836,250891.12060910268,5,0
633,158940,241856.68941107893,4,0
634,350638,683699.6641589091,6,1
635,315517,376088.14187441283,6,0
636,193233,361111.66561367863,3,0
637,147532,232262.8270660956,9,1
638,404802,746183.1400535968,7,1
639,435777,596376.9429721734,1,0
640,150386,279109.2648757909,7,1
641,77350,138885.05783086983,5,0
642,143008,186918.36539266337,5,0
643,406441,495127.0821016587,2,0
644,75351,141753.98513141772,4,0
645,138668,272747.89023331256,6,1
646,164585,185680.20217732148,7,0
647,458521,806145.5141409572,5,0
648,387497,743440.9174768721,9,1
649,257869,482633.8306290205,3,0
650,115953,228203.43808903274,1,0
651,369602,659401.2624209898,4,0
652,332502,498110.9007802597,9,1
653,53267,73548.7720099337,4,0
654,132745,184338.7955715133,2,0
655,401732,703826.592203153,5,0
656,350657,621102.3722149676,3,0
657,207164,265236.8814527129,9,0
658,61338,115395.82542049397,4,0
659,181484,316404.94706085825,6,1
660,57543,92441.40575435154,2,0
661,418035,637243.8647630585,6,1
662,476712,757452.2375823683,3,0
663,110692,137625.7063354475,9,0
664,270156,346699.60322953307,2,0
665,273992,323871.70694983593,9,0
666,356569,441536.62370816286,5,0
667,88756,133872.82900972382,8,1
668,68888,108658.3481276369,2,0
669,216807,241973.02499029232,6,0
670,359439,653143.0930046564,3,0
671,164352,224299.58527945256,5,0
672,395186,759014.9517805007,8,1
673,135999,268021.40790618915,1,0
674,67955,86093.07204578684,5,0
675,349985,530537.9082777578,3,0
676,120640,132837.74773502987,4,0
677,246582,404023.2603195765,2,0
678,478127,787272.3491696375,9,1
679,269798,356885.00644769147,3,0
680,450573,722075.4058114464,2,0
681,475695,619823.9862537954,9,0
682,111476,138758.9619918643,7,0
683,356955,601957.3181451622,6,1
684,217280,302743.37632675614,1,0
685,201222,328240.88127939845,5,0
686,121180,180548.7569363467,3,0
687,224358,445556.2017558907,1,0
688,162856,201065.6946280422,4,0
689,380594,577794.4944592086,2,0
690,464568,795531.3365950491,2,0
691,236141,343819.0704872497,3,0
692,424032,838408.734829589,8,1
693,160448,280735.6835130588,8,1
694,64397,108913.71052802261,7,1
695,484771,863548.4403972443,6,1
696,228031,446344.179422546,9,1
697,443944,851056.9796725519,4,0
698,493733,864949.50223346,1,0
699,169180,300166.8494928396,8,1
700,116234,143122.395718061,7,0
701,89954,107271.32915835993,7,0
702,228352,368517.66632460675,3,0
703,129459,144544.97031961684,4,0
704,459995,705687.871358642,9,1
705,245004,315887.2396305982,6,0
706,467682,660093.3483503466,5,0
707,480155,863426.3706232001,3,0
708,250968,488663.2445659742,9,1
709,478486,557519.755154793,5,0
710,109163,172566.833737906,5,0
711,101934,193091.55150918162,4,0
712,245967,288828.6390216364,4,0
713,475523,875943.1538102708,1,0
714,366242,520803.89413000474,7,1
715,55486,77119.17198260783,9,0
716,189407,374972.7782494521,3,0
717,399044,511084.8531895084,2,0
718,176020,303436.3977172475,3,0
719,152795,281035.3324326408,1,0
720,270184,307216.8093396813,6,0
721,192202,327386.68327997124,7,1
722,399652,781877.1653159497,2,0
723,287027,347818.73595104925,8,0
724,168324,320926.3990978407,6,1
725,372710,609492.280465082,4,0
726,247775,410053.78024387703,5,0
727,339336,560464.2220699758,8,1
728,313206,428764.07335454825,3,0
729,134076,260332.90672928133,3,0
730,139780,272936.58289990993,4,0
731,202617,336906.3189047125,1,0
732,71689,129404.41262002557,9,1
733,323318,533808.4247312119,8,1
734,400605,615312.6960813587,8,1
735,438318,742834.2173514218,6,1
736,415177,663328.8356744944,7,1
737,59348,97195.89774593181,6,1
738,466930,843018.4407510824,9,1
739,88102,135043.93042248662,3,0
740,124460,141471.03043984226,3,0
741,414778,517476.83905327553,3,0
742,139930,209159.877023043,3,0
743,56801,99534.88608466575,9,1
744,153150,250239.56248983348,4,0
745,253339,426943.29087949544,7,1
746,229208,350997.9081950023,9,1
747,204697,338603.19019896013,7,1
748,263945,368497.75686159194,9,0
749,281915,429402.87305807235,3,0
750,253664,448947.52440557093,4,0
751,258124,486473.2678156921,8,1
752,487477,726482.0011079528,6,1
753,51542,58721.56824539753,5,0
754,333821,415775.82132366684,4,0
755,227804,254861.4258776526,8,0
756,231415,390613.8754371261,1,0
757,89081,124631.72722713262,9,0
758,243928,387413.9557883785,1,0
759,405249,625683.8539940593,8,1
760,269930,316728.8007923979,4,0
761,331209,484537.3129408169,9,1
762,264532,343496.12794815685,5,0
763,138092,203901.09725502416,3,0
764,366837,470732.7410633165,9,0
765,339106,629518.8083146511,9,1
766,78295,98399.12055865495,4,0
767,63807,125361.77218385659,4,0
768,485564,715875.0799021958,8,1
769,207504,386293.7547676087,2,0
770,288067,479887.45539751876,9,1
771,483478,851798.9225284887,6,1
772,218152,390699.6514665898,9,1
773,444540,690975.3694170499,8,1
774,403411,641008.1666874568,7,1
775,216981,339053.7036537045,1,0
776,270411,440567.80866994476,3,0
777,69870,78705.41093250646,2,0
778,477794,695650.6975565564,5,0
779,253196,416651.70176695095,5,0
780,298683,489228.18087718566,5,0
781,284677,516307.42592964263,4,0
782,76790,129737.35041602586,5,0
783,168874,336552.36949734326,3,0
784,337433,457379.9966368008,1,0
785,498345,709262.5078911163,5,0
786,274786,397192.84112582984,9,1
787,65485,99486.87650094887,9,1
788,356626,660613.3809446339,4,0
789,136188,178707.6483229052,3,0
790,54748,98458.81340129813,1,0
791,267841,392327.91627308173,2,0
792,190507,312749.5972177685,8,1
793,315853,527249.1425370156,1,0
794,173961,249732.1095966218,8,1
795,80355,125462.57533288123,7,1
796,236843,348568.4882473761,8,1
797,456332,530357.9523275013,6,0
798,206542,308459.9123633045,9,1
799,223416,265340.91797167,3,0
800,355062,519994.94546675147,4,0
801,364368,595241.2423589161,6,1
802,89298,144794.33251341834,8,1
803,392363,665588.5656059874,5,0
804,111629,132362.45218432028,3,0
805,378184,637962.7197389147,6,1
806,280907,387913.816746186,4,0
807,340160,496341.52213419974,9,1
808,73960,138466.997006111,3,0
809,345735,383118.4140945571,4,0
810,263920,430076.4759721273,7,1
811,415477,680901.3994790472,7,1
812,292804,426613.6122372503,4,0
813,426965,560743.8391092347,6,0
814,348539,457006.6491594785,3,0
815,179695,340582.88818072004,6,1
816,465916,697859.2053218725,2,0
817,346764,484706.8671608195,8,0
818,284286,427537.66321881086,2,0
819,178148,303288.3051152641,7,1
820,332703,409617.58277226024,9,0
821,405540,610131.0577793213,1,0
822,242714,395404.3905247178,8,1
823,257611,503301.0559639694,7,1
824,333876,443145.2691913914,6,0
